Drug,Generic,Brand(s),Form,US tablet/cap strengths (mg),Liquid concentration,Injectable concentration,Unit,Source,Notes,Spreadsheet sheets
Acepromazine,acepromazine,PromAce,tab; injectable,5 / 10 / 25,,10 mg/ml,tab,VET-LABEL,,CarSickness; Dog Anesthesia meds; Dyssynergia; Incontinence; Oral Sedation
Tylenol,acetaminophen,Tylenol,tab/cap,325 / 500,,,tab,HUMAN-GEN,"Tylenol #3 = 300/30 mg codeine, #4 = 300/60 mg (sheet). NEVER cats.",Disk Disease; NSAID; NSAIDs-tyl-grapes-raisins
Activated Charcoal,activated charcoal,ToxiBan,suspension,,ToxiBan 104 mg/ml (10.4%),,ml,VET-LABEL,,NSAIDs-tyl-grapes-raisins
Alfaxan,alfaxalone,Alfaxan,injectable,,,10 mg/ml,ml,VET-LABEL,,
Alprazolam,alprazolam,Xanax,tab,0.25 / 0.5 / 1 / 2,,,tab,SHEET,,T-Storms; Urethrospasms)
Aloh,aluminum hydroxide,Phosbind,powder,,,,tsp,SHEET,1/8 tsp = 250 mg (sheet),"Calcitriol, ALOH, Darbe-EPO"
Amitriptyline,amitriptyline,Elavil,tab,10 / 25 / 50 / 75 / 100 / 150,,,tab,HUMAN-GEN,,SKIN
Amoxicillin,amoxicillin,Amoxi-Tabs / Amoxi-Drop,tab (vet); cap (human); suspension,50 / 100 / 150 / 200 / 400 / 250 / 500 / 875,Amoxi-Drop 50 mg/ml; human 125/250/400 mg per 5 ml,,tab,VET-LABEL,"vet tabs 50/100/150/200/400; human caps 250/500, tabs 500/875",Cholangiohep; Helicobacter; Liver Drugs; UTI ANTIBIOTICS
Clavamox,amoxicillin/clavulanate,Clavamox,tab / chewable; drops,62.5 / 125 / 250 / 375,Clavamox Drops 62.5 mg/ml,,tab,VET-LABEL,,UTI ANTIBIOTICS
Ampicillin,ampicillin,,injectable,,,sheet uses 250 mg/ml,ml,SHEET,,Dog Anesthesia meds
Apomorphine,apomorphine,Clevor,injectable / ophthalmic,,,3 mg/ml (sheet); Clevor 30 mg/ml eye drops,ml,VET-LABEL,,NSAIDs-tyl-grapes-raisins; Vomiting
Aspirin,aspirin,,tab,81 / 325,,,tab,OTC,baby aspirin = 81 mg,
Atenolol,atenolol,Tenormin,tab,25 / 50 / 100,,,tab,SHEET,,T-Storms
Atovaquone,atovaquone,Mepron,suspension,,750 mg/5 ml (150 mg/ml),,ml,HUMAN-GEN,,Babesia
Atropine,atropine,,injectable,,,0.54 mg/ml (1/120 gr); 0.4 mg/ml,ml,VET-LABEL,,Anaphylaxis ; Dog Anesthesia meds
Azathioprine,azathioprine,Imuran,tab,50 / 75 / 100,,,tab,HUMAN-GEN,DOGS ONLY (sheet),Skin AutoImmune
Azithromycin,azithromycin,Zithromax,tab; suspension,250 / 500 / 600,100 mg/5 ml; 200 mg/5 ml (40 mg/ml),,tab,HUMAN-GEN,,Babesia; Snuffling Cat
